City,Current_Rain_mm,Peak_Hourly_mm,Total_24h_mm,Status
Addis Ababa,0.8,3.3,13.1,SAFE: Conditions Normal
Addis Ababa,0.0,4.8,14.299999999999999,SAFE: Conditions Normal
